Chronologic VCS simulator copyright 1991-2014
Contains Synopsys proprietary information.
Compiler version I-2014.03-2; Runtime version I-2014.03-2;  May 16 00:48 2016
		time,	mlier,	mcand,	clock,	valid,	reset,	start,	prodt
                   0,	10110111,	11011110,	0,	x,	1,	1,	xxxxxxxxxxxxxxxx
                 832,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 836,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 840,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 844,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 848,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 852,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 856,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 860,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 864,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 868,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 872,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 876,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 880,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 884,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 888,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 892,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 896,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 900,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 904,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 908,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 912,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 916,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 920,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 924,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 928,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 932,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 936,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 940,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 944,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 948,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 952,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 956,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 960,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 964,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 968,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 972,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 976,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 980,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 984,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 988,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 992,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 996,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
$finish called from file "array_tb.v", line 37.
$finish at simulation time               100000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 1000000 ps
CPU Time:      0.330 seconds;       Data structure size:   0.1Mb
Mon May 16 00:48:10 2016
